,p.value,Case_rank,Control_rank,Enrichment,qnorm,Case_Mean1,Control_Mean1,Case_Mean2,Control_Mean2,OR,lower,uper,com,FDR
K03434,0.446192581222608,24,27,Control,-0.76,-4.5679,6.0193,-0.0723830993317322,0.0668151686139067,1.1552,0.6519,2.0472,1.1552 (0.6519;2.0472),0.779177063663125
K03472,0.59998472288942,24,27,Control,-0.52,1.8943,-0.0011,0.1811428813287,-0.167208813534185,0.1095,0.0024,5.0582,0.1095 (0.0024;5.0582),0.894854786904452
K03473,0.596394520949954,27,24,Case,0.53,6.9573,-4.8047,0.0761487028100378,-0.0702911102861885,0.8607,0.4898,1.5124,0.8607 (0.4898;1.5124),0.894854786904452
K03474,0.780191941046138,26,25,Case,0.28,10.4891,-7.7669,0.0475618864919827,-0.0439032798387533,0.9107,0.5192,1.5976,0.9107 (0.5192;1.5976),0.963665650259186
K03475,0.531253922476574,24,27,Control,-0.63,4.7526,-2.4727,0.0716091008770415,-0.0661007085018845,0.8637,0.4735,1.5756,0.8637 (0.4735;1.5756),0.85061169353799
K03517,0.0857457078270006,29,22,Case,1.72,2.2978,-1.3094,0.241006609384131,-0.222467639431506,0.6117,0.3374,1.1091,0.6117 (0.3374;1.1091),0.387060946174894
K03525,0.0971139305825565,22,29,Control,-1.66,-1.0279,2.0572,-0.277094369152163,0.25577941767892,1.7772,0.9642,3.2755,1.7772 (0.9642;3.2755),0.416626175476311
K03526,0.780191941046138,26,25,Case,0.28,31.5162,-34.2521,0.0129341626883904,-0.0119392270969765,0.9749,0.5566,1.7076,0.9749 (0.5566;1.7076),0.963665650259186
K03527,0.258477438046732,28,23,Case,1.14,3.1479,-2.0822,0.163614618102567,-0.151028878248524,0.7212,0.4052,1.2837,0.7212 (0.4052;1.2837),0.61814604332878
K03621,0.0110207695595817,20,30,Control,-2.51,-0.5851,1.7984,-0.358280322602582,0.330720297786999,2.2128,1.1344,4.3165,2.2128 (1.1344;4.3165),0.241203117614782
K03688,0.149134967528481,22,28,Control,-1.45,5.4667,-2.1066,0.0655201742038696,-0.0604801608035719,0.8753,0.4828,1.5869,0.8753 (0.4828;1.5869),0.499793872476267
K03737,0.0437527291463828,21,30,Control,-2.01,-0.9263,2.2668,-0.272770883748129,0.251788508075195,1.7614,0.9566,3.2431,1.7614 (0.9566;3.2431),0.294479446470265
K03763,0.028020407833775,21,30,Control,-2.18,-0.4009,1.865,-0.38405021225766,0.35450788823784,2.3988,1.2008,4.7921,2.3988 (1.2008;4.7921),0.256056409798074
K03781,0.664882949086388,25,26,Control,-0.44,15.7753,-13.0807,0.0287971763110747,-0.0265820089025306,0.9451,0.5396,1.6553,0.9451 (0.5396;1.6553),0.929512978573508
K03782,0.914944700600579,25,26,Control,-0.11,1.8979,-0.0123,0.185471748904629,-0.171204691296581,0.1343,0.0044,4.1361,0.1343 (0.0044;4.1361),0.989676920858447
K03785,0.0239774387198149,21,30,Control,-2.24,-0.5932,1.9426,-0.299978458080115,0.276903192073953,2.0817,0.9843,4.4025,2.0817 (0.9843;4.4025),0.242798568658306
K03786,0.13323090230092,29,22,Case,1.5,3.2626,-2.3008,0.133895301863424,-0.123595663258545,0.7612,0.4213,1.3754,0.7612 (0.4213;1.3754),0.470916774170547
K03841,0.930998043449749,26,25,Case,0.09,2.0771,-0.0875,0.176494709049106,-0.162918192968406,0.4067,0.0487,3.3953,0.4067 (0.0487;3.3953),0.992208704748446
K03844,0.84073218818222,26,25,Case,0.2,3.0353,-1.2095,0.165428680769235,-0.15270339763314,0.7096,0.3841,1.311,0.7096 (0.3841;1.311),0.989676920858447
K03856,0.0326250083986423,21,30,Control,-2.13,-0.5709,2.0181,-0.302532983123096,0.27926121519055,2.1914,1.0021,4.7922,2.1914 (1.0021;4.7922),0.273660518209507
K03857,0.020441496121948,21,30,Control,-2.3,-0.8626,1.8742,-0.260036283010129,0.240033492009349,1.898,0.8946,4.0268,1.898 (0.8946;4.0268),0.242798568658306
K04041,0.854944173276674,26,25,Case,0.18,52.0569,-49.4347,0.00790121968615268,-0.00729343355644923,0.9846,0.5622,1.7245,0.9846 (0.5622;1.7245),0.989676920858447
K04042,0.329809533579703,23,27,Control,-0.98,-2.6586,4.3187,-0.114769277413522,0.105940871458636,1.2607,0.704,2.2575,1.2607 (0.704;2.2575),0.678948563632942
K04056,0.690178141283262,25,26,Control,-0.4,-1.9696,4.1062,-0.124438791839065,0.114866577082214,1.2868,0.7162,2.3121,1.2868 (0.7162;2.3121),0.942025833013478
K04058,0.669222840317594,25,26,Control,-0.43,3.5066,-1.4111,0.0825168292252516,-0.0761693808233092,0.8403,0.447,1.5797,0.8403 (0.447;1.5797),0.934417978281957
K04059,0.136880622229484,22,28,Control,-1.49,-0.2895,1.9953,-0.237763737384287,0.219474219123957,2.8279,0.7502,10.6593,2.8279 (0.7502;10.6593),0.480793185581063
K04092,0.0028707008360651,19,31,Control,-2.98,-0.101,1.6373,-0.396421864201034,0.365927874647109,6.7017,1.1223,40.0178,6.7017 (1.1223;40.0178),0.163572467886925
K04486,0.0661849932833277,22,29,Control,-1.84,-1.1358,1.9618,-0.271773840243656,0.250868160224913,1.757,0.9559,3.2292,1.757 (0.9559;3.2292),0.346008988141676
K04516,0.039738255822051,30,21,Case,2.05,2.473,-1.3273,0.201522352417998,-0.186020633001228,0.6537,0.3517,1.2148,0.6537 (0.3517;1.2148),0.282694933822692
K04517,0.00464290678945751,20,31,Control,-2.79,-0.3664,1.7092,-0.42598232120978,0.393214450347489,2.6332,1.3159,5.2692,2.6332 (1.3159;5.2692),0.237210328697738
K04518,0.0754590506315317,29,22,Case,1.78,2.0644,-1.1688,0.26188491013048,-0.24173991704352,0.5794,0.314,1.0688,0.5794 (0.314;1.0688),0.366208439554539
K04566,0.0147997652920358,20,30,Control,-2.44,-3.0937,3.9123,-0.0818417437131066,0.0755462249659446,1.1845,0.6482,2.1645,1.1845 (0.6482;2.1645),0.241203117614782
K04567,0.266769187406626,23,28,Control,-1.12,-2.6348,4.4354,-0.121758954011553,0.112392880626049,1.273,0.7205,2.2492,1.273 (0.7205;2.2492),0.625904407241043
K04568,0.721761172145987,25,26,Control,-0.36,2.0013,-0.0986,0.172982240016858,-0.159675913861715,0.3199,0.0187,5.477,0.3199 (0.0187;5.477),0.942229451210324
K04708,1,26,25,Case,0,-0.4516,2.682,-0.207127386339651,0.19119451046737,1.647,0.7822,3.468,1.647 (0.7822;3.468),1
K05286,0.0218014570805033,21,30,Control,-2.29,-0.6936,2.1358,-0.239299003669095,0.220891388002241,1.8442,0.8277,4.1091,1.8442 (0.8277;4.1091),0.242798568658306
K05299,0.280927297688427,23,28,Control,-1.08,-0.405,2.2516,-0.282067061593915,0.26036959531746,2.0279,0.9285,4.4293,2.0279 (0.9285;4.4293),0.647053857790557
K05308,0.0227450588424616,21,30,Control,-2.26,-0.346,1.9749,-0.329290072969582,0.303960067356537,2.3337,1.0225,5.3263,2.3337 (1.0225;5.3263),0.242798568658306
K05351,0.0138805787445467,20,30,Control,-2.44,-0.0933,1.7216,-0.346678518447371,0.320010940105266,5.6872,1.1326,28.5584,5.6872 (1.1326;28.5584),0.241203117614782
K05528,0.52796673424687,27,24,Case,0.63,2.5484,-1.1156,0.161780266610248,-0.149335630717152,0.683,0.3266,1.4281,0.683 (0.3266;1.4281),0.85061169353799
K05534,0.57993662079905,27,24,Case,0.55,4.3808,-3.047,0.0939267070270279,-0.0867015757172566,0.8299,0.4681,1.4712,0.8299 (0.4681;1.4712),0.885658009911158
K05573,0.292276704908787,23,28,Control,-1.05,-0.2783,2.0808,-0.231394729889419,0.21359513528254,2.2242,0.6463,7.6546,2.2242 (0.6463;7.6546),0.650216128886776
K05587,0.0755875070966665,22,29,Control,-1.78,-0.6931,2.2128,-0.243940775831968,0.22517610076797,1.8405,0.8449,4.0094,1.8405 (0.8449;4.0094),0.366208439554539
K05606,0.976974262337502,25,26,Control,-0.03,-10.3509,9.0326,-0.0460514103015353,0.0425089941244942,1.0946,0.6246,1.9185,1.0946 (0.6246;1.9185),0.99647828572355
K05772,0.0754590506315317,22,29,Control,-1.78,-0.4951,2.0543,-0.277550925432972,0.25620085424582,2.1656,0.9206,5.094,2.1656 (0.9206;5.094),0.366208439554539
K05773,0.11130691759312,22,29,Control,-1.59,-0.7012,2.2712,-0.263873658324255,0.243575684607005,1.8232,0.914,3.6367,1.8232 (0.914;3.6367),0.440524561178405
K05776,0.00723445291042608,31,20,Case,2.65,1.5182,-0.5894,0.386297708250572,-0.356582499923605,0.412,0.2036,0.8337,0.412 (0.2036;0.8337),0.239162502097615
K05777,0.992323823710658,26,25,Case,0.01,2.4013,-0.5315,0.143500106279165,-0.132461636565384,0.6712,0.2508,1.796,0.6712 (0.2508;1.796),1
K05778,0.961248570672439,25,26,Control,-0.05,1.9182,-0.0237,0.182733282005647,-0.16867687569752,0.1566,0.0059,4.1386,0.1566 (0.0059;4.1386),0.996198680481542
K05779,0.550927940909379,27,24,Case,0.6,1.8411,-0.0115,0.17765100970578,-0.16398554742072,0.0622,7e-04,5.2428,0.0622 (7e-04;5.2428),0.864549615459477
K05780,0.219658488084314,28,23,Case,1.23,1.8963,-0.2115,0.209152315813556,-0.19306367613559,0.3165,0.0521,1.9231,0.3165 (0.0521;1.9231),0.563689818736915
K05781,0.369764612824605,27,24,Case,0.9,1.9458,-0.3318,0.18472023579925,-0.170510986891615,0.4126,0.067,2.5408,0.4126 (0.067;2.5408),0.725332329519819
K05813,0.885246878046434,25,26,Control,-0.15,5.2082,-3.6075,0.0700292091586452,-0.0646423469156726,0.8688,0.485,1.5563,0.8688 (0.485;1.5563),0.989676920858447
K05814,0.412541130682006,27,24,Case,0.83,2.2154,-0.514,0.214014864204084,-0.197552182342232,0.5598,0.2306,1.3588,0.5598 (0.2306;1.3588),0.750317525706432
K05815,0.219658488084314,28,23,Case,1.23,1.9237,-0.2583,0.241585353094334,-0.22300186439477,0.3878,0.1023,1.4701,0.3878 (0.1023;1.4701),0.563689818736915
K05816,0.039738255822051,30,21,Case,2.05,1.6544,-0.1175,0.234858730220493,-0.216792674049686,0.1044,0.0082,1.3245,0.1044 (0.0082;1.3245),0.282694933822692
K05825,0.19844192302749,23,28,Control,-1.29,-2.8373,3.7713,-0.127036260872584,0.117264240805462,1.2907,0.7236,2.3023,1.2907 (0.7236;2.3023),0.542697619179802
K05831,0.922651518617181,26,25,Case,0.1,4.5891,-3.0364,0.0942814543118251,-0.087029034749377,0.829,0.467,1.4717,0.829 (0.467;1.4717),0.992208704748446
K05832,0.0360351286646182,21,30,Control,-2.09,-0.5063,1.9774,-0.328119130412196,0.302879197303566,2.089,1.0606,4.1149,2.089 (1.0606;4.1149),0.28127419874327
K05833,0.020441496121948,21,30,Control,-2.3,-0.45,1.9079,-0.342451411517831,0.316108995247228,2.182,1.0922,4.3591,2.182 (1.0922;4.3591),0.242798568658306
K05845,0.154740451620766,22,28,Control,-1.43,16.0994,-9.4446,0.0212530580479322,-0.0196182074288606,0.9591,0.5469,1.682,0.9591 (0.5469;1.682),0.499793872476267
K05846,0.481825693345,24,27,Control,-0.71,2.0962,-0.0496,0.165502236039645,-0.152771294805826,0.4473,0.042,4.7601,0.4473 (0.042;4.7601),0.809524782241824
K05847,0.664882949086388,26,25,Case,0.44,5.9497,-3.7327,0.0848795223120354,-0.0783503282880325,0.8458,0.4801,1.4899,0.8458 (0.4801;1.4899),0.929512978573508
K05884,0.0310242380331286,21,30,Control,-2.15,-0.6281,2.0665,-0.302162053945608,0.278918819026715,1.9559,1,3.8256,1.9559 (1;3.8256),0.264176087494216
K05928,0.293959374548839,23,28,Control,-1.05,-3.1257,4.4078,-0.109231078342356,0.100828687700636,1.2447,0.6991,2.2162,1.2447 (0.6991;2.2162),0.65169691714575
K05979,0.583084454923716,24,27,Control,-0.55,7.7659,-5.1071,0.0613306283909218,-0.0566128877454662,0.8863,0.5044,1.5575,0.8863 (0.5044;1.5575),0.885658009911158
K06001,0.556880713160731,27,24,Case,0.59,72.0233,-60.9425,0.00531662819768425,-0.00490765679786296,0.9896,0.5649,1.7335,0.9896 (0.5649;1.7335),0.864549615459477
K06073,0.763315598515775,25,26,Control,-0.3,1.8821,-0.0032,0.185138739894084,-0.17089729836377,0.1138,0.0029,4.4045,0.1138 (0.0029;4.4045),0.962384248471646
K06074,0.953451505948742,25,26,Control,-0.06,1.8681,-0.0222,0.181693631122161,-0.167717197958918,0.0977,0.0018,5.3739,0.0977 (0.0018;5.3739),0.996198680481542
K06208,0.465897240856162,24,27,Control,-0.73,4.5662,-2.061,0.0767967894462191,-0.0708893441042022,0.854,0.4662,1.5644,0.854 (0.4662;1.5644),0.801942570784573
K06209,0.0378489319091801,21,30,Control,-2.07,-0.9159,2.0255,-0.281044899695853,0.25942606125771,1.8511,0.9639,3.5548,1.8511 (0.9639;3.5548),0.282694933822692
K06445,0.907225910596598,25,26,Control,-0.12,1.8805,-0.0062,0.185906992616906,-0.171606454723297,0.1167,0.0034,3.9745,0.1167 (0.0034;3.9745),0.989676920858447
K06634,0.000519976835815783,18,32,Control,-3.47,0,1.5719,-0.377597683413055,0.348551707765897,3098.9955,1.0267,9353715.0199,3098.9955 (1.0267;9353715.0199),0.0965663352469749
K06857,0.0740126980386831,22,29,Control,-1.79,-0.4833,2.0814,-0.322515597995695,0.297706705842179,2.0643,1.045,4.0775,2.0643 (1.045;4.0775),0.364869616646841
K06858,0.938035735652094,25,26,Control,-0.08,1.8439,0,0.185527933148458,-0.1712565536755,0.0626,9e-04,4.5578,0.0626 (9e-04;4.5578),0.992208704748446
K06859,0.493947817024109,24,27,Control,-0.69,-8.3307,9.3366,-0.0446553228040153,0.0412202979729373,1.0922,0.6205,1.9226,1.0922 (0.6205;1.9226),0.818875142087166
K06861,0.123366622011282,29,22,Case,1.54,2.343,-1.55,0.220028369319833,-0.203103110141384,0.6377,0.3517,1.1561,0.6377 (0.3517;1.1561),0.457637238088056
K07091,0.412541130682006,27,24,Case,0.83,2.5828,-0.8875,0.219583822943087,-0.202692759639772,0.6317,0.3396,1.1748,0.6317 (0.3396;1.1748),0.750317525706432
K07151,0.266769187406626,23,28,Control,-1.12,-0.3815,2.2301,-0.275248024488023,0.254075099527406,1.9771,0.9186,4.2554,1.9771 (0.9186;4.2554),0.625904407241043
K07250,0.19844192302749,28,23,Case,1.29,1.7947,-0.1614,0.207965135002941,-0.191967816925792,0.1882,0.0201,1.762,0.1882 (0.0201;1.762),0.542697619179802
K07404,0.637115113015633,27,25,Case,0.48,7.2585,-5.4647,0.0671227968283483,-0.0619595047646296,0.8762,0.4989,1.5389,0.8762 (0.4989;1.5389),0.909933147432746
K07432,0.380017072107375,27,24,Case,0.88,-1.8385,4.1399,-0.0913060966821445,0.0842825507835181,1.2158,0.6456,2.2896,1.2158 (0.6456;2.2896),0.733003134723347
K07441,0.38019646578622,24,27,Control,-0.88,-1.4105,3.0874,-0.15020649470877,0.138652148961942,1.3847,0.7278,2.6343,1.3847 (0.7278;2.6343),0.733003134723347
K07516,0.869364970255184,26,25,Case,0.16,-0.7735,2.893,-0.146733839184083,0.135446620785307,1.4071,0.687,2.8822,1.4071 (0.687;2.8822),0.989676920858447
K07542,0.2119221796812,23,28,Control,-1.25,-0.5061,2.2582,-0.216717372135924,0.200046805048546,1.9542,0.7282,5.2439,1.9542 (0.7282;5.2439),0.556539342448835
K07590,0.00922664627099199,20,31,Control,-2.57,-0.8826,2.0125,-0.282387750511497,0.260665615856767,1.8918,0.9592,3.7312,1.8918 (0.9592;3.7312),0.241203117614782
K07964,0.048283440032314,21,29,Control,-1.97,-0.5415,1.9782,-0.275967574212853,0.254739299273403,2.0519,0.8875,4.7437,2.0519 (0.8875;4.7437),0.303187634616318
K08093,0.19844192302749,23,28,Control,-1.29,-8.5883,8.3996,-0.0483370073708032,0.0446187760345877,1.1002,0.6252,1.9358,1.1002 (0.6252;1.9358),0.542697619179802
K08094,0.0183403867151168,20,30,Control,-2.34,-7.5086,6.2562,-0.0449655938247897,0.0415067019921136,1.0937,0.6174,1.9376,1.0937 (0.6174;1.9376),0.242798568658306
K08260,0.506228271280028,24,27,Control,-0.67,-1.3253,3.1827,-0.167938879441054,0.155020504099434,1.4198,0.7705,2.616,1.4198 (0.7705;2.616),0.825835380143326
K08264,0.0294900839408638,21,30,Control,-2.17,-0.4069,1.9481,-0.338676191547374,0.312624176812961,2.1647,1.0837,4.3239,2.1647 (1.0837;4.3239),0.263070272615325
K08289,0.0552756379895714,30,22,Case,1.91,1.8444,-0.7038,0.328443904181847,-0.303178988475551,0.4886,0.2534,0.9422,0.4886 (0.2534;0.9422),0.321300219230542
K08348,0.778094127338428,25,26,Control,-0.28,2.0865,-0.1886,0.174364989943857,-0.160952298409714,0.4457,0.0622,3.1946,0.4457 (0.0622;3.1946),0.963665650259186
K08349,0.768481859115124,25,26,Control,-0.29,10.4561,-8.8418,0.0312090799570646,-0.0288083814988288,0.9406,0.5364,1.6495,0.9406 (0.5364;1.6495),0.963665650259186
K08350,0.54065273402264,27,24,Case,0.61,1.8034,-0.0158,0.184370476700381,-0.170188132338813,0.0452,6e-04,3.6531,0.0452 (6e-04;3.6531),0.859984312384812
K08591,0.0310242380331286,21,30,Control,-2.15,-0.6571,1.9996,-0.320493232649896,0.295839907061442,1.997,1.0493,3.8006,1.997 (1.0493;3.8006),0.264176087494216
K08680,0.0342945685528998,21,30,Control,-2.11,14.055,-7.2585,0.0229957344392005,-0.0212268317900313,0.9558,0.5447,1.6774,0.9558 (0.5447;1.6774),0.275336393238996
K08735,0.606114017575576,24,27,Control,-0.52,23.5191,-18.4166,0.0177230486563153,-0.0163597372212141,0.9658,0.5515,1.6915,0.9658 (0.5515;1.6915),0.894854786904452
K08737,0.0360351286646182,21,30,Control,-2.09,-0.4219,1.7999,-0.276218005021925,0.254970466174084,2.4919,0.8443,7.3548,2.4919 (0.8443;7.3548),0.28127419874327
K08963,0.0155370319288588,20,30,Control,-2.4,-0.5841,1.7147,-0.350659591233688,0.323685776523404,2.2453,1.1106,4.5391,2.2453 (1.1106;4.5391),0.242550331778296
K08964,1,26,26,Control,0,20.8647,-21.1043,0.0131836730506915,-0.0121695443544844,0.9745,0.5566,1.7062,0.9745 (0.5566;1.7062),1
K08965,0.0822000465930611,22,29,Control,-1.74,-0.9106,2.3133,-0.223293212784203,0.206116811800803,1.6827,0.825,3.4321,1.6827 (0.825;3.4321),0.380217499467493
K08967,0.737281072171301,25,26,Control,-0.34,11.7104,-9.9262,0.0281828767028126,-0.0260149631102885,0.9462,0.54,1.658,0.9462 (0.54;1.658),0.952533247264991
K08969,0.0131684669969248,20,30,Control,-2.48,-0.6006,2.1249,-0.230011580916472,0.212318382384436,1.8598,0.7803,4.4326,1.8598 (0.7803;4.4326),0.241203117614782
K09458,0.390803907241872,27,24,Case,0.86,-101.5518,126.5075,-0.00334363663313437,0.00308643381520015,1.0066,0.5747,1.7631,1.0066 (0.5747;1.7631),0.734554501237231
K09470,1,26,25,Case,0,1.9251,-0.039,0.176975988104348,-0.163362450557859,0.1777,0.0057,5.5578,0.1777 (0.0057;5.5578),1
K09471,0.690545233403157,26,25,Case,0.4,2.1074,-0.3322,0.182391106293322,-0.168361021193836,0.4647,0.0916,2.3572,0.4647 (0.0916;2.3572),0.942025833013478
K09472,0.609838760470472,27,24,Case,0.51,1.8962,-0.0532,0.182720542363787,-0.168665116028111,0.1422,0.005,4.0695,0.1422 (0.005;4.0695),0.894854786904452
K09473,0.369102070327534,27,24,Case,0.9,-16.8646,23.1781,-0.0138375308825886,0.0127731054300818,1.0276,0.5854,1.8037,1.0276 (0.5854;1.8037),0.725332329519819
K09680,0.0310242380331286,30,21,Case,2.15,1.7717,-0.8632,0.303590185129815,-0.280237093965983,0.5187,0.272,0.9891,0.5187 (0.272;0.9891),0.264176087494216
K09686,0.664882949086388,25,26,Control,-0.44,-0.7207,3.0054,-0.197488123747335,0.182296729612925,1.5145,0.8163,2.8099,1.5145 (0.8163;2.8099),0.929512978573508
K09687,0.00528258068735799,20,31,Control,-2.75,-0.3864,1.6262,-0.418904566480427,0.386681138289625,2.7804,1.3122,5.8911,2.7804 (1.3122;5.8911),0.239162502097615
K09688,0.683423449953494,25,26,Control,-0.41,2.1732,-0.1609,0.160964163742108,-0.148582304992715,0.5546,0.1177,2.6137,0.5546 (0.1177;2.6137),0.940230058442751
K09689,0.664882949086388,25,26,Control,-0.44,2.2848,-0.2032,0.160410957434386,-0.148071653016357,0.6022,0.1818,1.9949,0.6022 (0.1818;1.9949),0.929512978573508
K09690,0.172498193748909,23,28,Control,-1.37,-1.2892,2.2186,-0.227309659705305,0.209824301266435,1.6223,0.8669,3.0357,1.6223 (0.8669;3.0357),0.515659494079185
K09691,0.0894115491761765,22,29,Control,-1.7,-0.6562,1.9348,-0.293020445453379,0.270480411187734,2.042,0.9821,4.2456,2.042 (0.9821;4.2456),0.394112083427539
K09692,0.16642009212642,22,28,Control,-1.39,-2.8961,4.1649,-0.0987378556587954,0.0911426359927342,1.2248,0.6744,2.2242,1.2248 (0.6744;2.2242),0.512482694657797
K09693,0.162065710972207,22,28,Control,-1.4,-1.191,2.7574,-0.188500055701045,0.17400005141635,1.5076,0.7878,2.8851,1.5076 (0.7878;2.8851),0.510257308495128
K09696,0.609838760470472,24,27,Control,-0.51,-7.043,7.458,-0.0521260007076081,0.0481163083454843,1.109,0.6277,1.9594,1.109 (0.6277;1.9594),0.894854786904452
K09697,0.556880713160731,24,27,Control,-0.59,-3.91,5.274,-0.0929944829280206,0.0858410611643269,1.204,0.6783,2.1372,1.204 (0.6783;2.1372),0.864549615459477
K09698,0.219658488084314,23,28,Control,-1.23,-0.8819,2.641,-0.217500123149709,0.200769344445885,1.5978,0.8424,3.0306,1.5978 (0.8424;3.0306),0.563689818736915
K09699,0.455699262502981,24,27,Control,-0.75,-0.9044,3.0803,-0.193985958586773,0.179063961772406,1.5235,0.8,2.9012,1.5235 (0.8;2.9012),0.790884774463754
K09759,0.0822000465930611,22,29,Control,-1.74,-1.4006,2.7331,-0.180621820652103,0.166727834448095,1.4682,0.784,2.7494,1.4682 (0.784;2.7494),0.380217499467493
K09808,0.039738255822051,30,21,Case,2.05,1.7476,-0.8371,0.310309104285902,-0.286439173186987,0.5111,0.2666,0.9798,0.5111 (0.2666;0.9798),0.282694933822692
K09810,0.13323090230092,29,22,Case,1.5,2.9123,-1.2835,0.207131639726529,-0.191198436670642,0.6553,0.3619,1.1865,0.6553 (0.3619;1.1865),0.470916774170547
K09811,0.234661698866164,28,23,Case,1.19,4.1713,-2.4298,0.104309337282813,-0.0962855421072111,0.812,0.4568,1.4433,0.812 (0.4568;1.4433),0.583539268861877
K09812,0.13323090230092,22,28,Control,-1.5,-1.4525,2.5718,-0.211284050401969,0.19503143114028,1.5342,0.8509,2.7662,1.5342 (0.8509;2.7662),0.470916774170547
K09815,0.250362799164942,23,28,Control,-1.16,-5.0133,5.7206,-0.0689951369760817,0.0636878187471526,1.1466,0.6496,2.0237,1.1466 (0.6496;2.0237),0.602586266084357
K09816,0.178737668236209,23,28,Control,-1.35,-0.9862,1.645,-0.299602669041122,0.276556309884114,1.9141,0.9983,3.6697,1.9141 (0.9983;3.6697),0.516455370430589
K09817,0.446432410141506,24,27,Control,-0.77,-2.6435,4.3429,-0.110400291022558,0.1019079609439,1.2478,0.7,2.2245,1.2478 (0.7;2.2245),0.779177063663125
K09818,0.233679364752367,23,28,Control,-1.19,3.2719,-0.918,0.0916750938637195,-0.0846231635665103,0.8191,0.4215,1.5921,0.8191 (0.4215;1.5921),0.583539268861877
K09819,0.0225480854113936,21,30,Control,-2.28,-0.2913,1.9575,-0.286856288131979,0.264790419814135,2.5737,0.8525,7.7696,2.5737 (0.8525;7.7696),0.242798568658306
K09820,0.00595926775683775,20,31,Control,-2.75,-0.3988,1.8899,-0.291852802156458,0.269402586605961,2.3808,0.8866,6.3935,2.3808 (0.8866;6.3935),0.239162502097615
K09834,0.180444127410674,23,28,Control,-1.34,-0.8342,2.4226,-0.216131939463036,0.199506405658187,1.6324,0.8214,3.2439,1.6324 (0.8214;3.2439),0.520049228742558
K09880,0.973759889188354,26,25,Case,0.03,-11.1045,14.0417,-0.0231100729851705,0.0213323750632344,1.0467,0.5952,1.8405,1.0467 (0.5952;1.8405),0.99647828572355
K09969,0.446432410141506,27,24,Case,0.77,1.9092,-0.0839,0.20748982976225,-0.191529073626692,0.227,0.0275,1.876,0.227 (0.0275;1.876),0.779177063663125
K09970,0.401585867762527,27,24,Case,0.84,1.8345,-0.0446,0.213594071930743,-0.197163758705301,0.1754,0.0158,1.9513,0.1754 (0.0158;1.9513),0.744855635915974
K09971,0.765455087307519,26,25,Case,0.3,2.0056,-0.15,0.205432569009297,-0.189630063700889,0.3526,0.0627,1.984,0.3526 (0.0627;1.984),0.962384248471646
K09972,0.719389570542628,26,25,Case,0.36,1.9509,-0.1108,0.188200145701394,-0.173723211416672,0.2188,0.0165,2.9042,0.2188 (0.0165;2.9042),0.942229451210324
K09996,0.838360466948509,25,26,Control,-0.2,1.8981,-0.0468,0.180367824783822,-0.166493376723528,0.1401,0.0041,4.834,0.1401 (0.0041;4.834),0.989676920858447
K09997,0.922651518617181,25,26,Control,-0.1,2.0376,-0.1401,0.173358249443882,-0.16002299948666,0.3741,0.0312,4.4818,0.3741 (0.0312;4.4818),0.992208704748446
K09998,0.976743288218632,26,25,Case,0.03,1.9901,-0.1227,0.171579518272275,-0.158381093789792,0.3015,0.0144,6.3277,0.3015 (0.0144;6.3277),0.99647828572355
K09999,0.733984553783549,25,26,Control,-0.34,2.1226,-0.2246,0.174944037910771,-0.161486804225327,0.4599,0.0727,2.9104,0.4599 (0.0727;2.9104),0.9522762117466
K10000,0.922634850930052,26,25,Case,0.1,1.9282,-0.0749,0.182434586536132,-0.168401156802583,0.1932,0.0092,4.0456,0.1932 (0.0092;4.0456),0.992208704748446
K10001,0.946305810934461,25,26,Control,-0.07,2.1928,-0.1492,0.181038479017183,-0.167112442169708,0.5027,0.1178,2.1443,0.5027 (0.1178;2.1443),0.992208704748446
K10002,0.915715300438421,26,25,Case,0.11,2.172,-0.1416,0.191929199873484,-0.177165415267831,0.5005,0.1353,1.8512,0.5005 (0.1353;1.8512),0.989676920858447
K10003,0.780191941046138,26,25,Case,0.28,1.9698,-0.027,0.200345694842875,-0.18493448754727,0.2852,0.0357,2.278,0.2852 (0.0357;2.278),0.963665650259186
K10004,0.446432410141506,27,24,Case,0.77,1.9779,-0.1958,0.210392708205491,-0.194208653728145,0.3352,0.0601,1.8707,0.3352 (0.0601;1.8707),0.779177063663125
K10005,0.000135739433133667,17,33,Control,-3.82,0,1.5667,-0.433448396638028,0.400106212281257,61.238,1.4663,2557.5983,61.238 (1.4663;2557.5983),0.0762855614211208
K10006,0.0141309694977149,20,30,Control,-2.45,-0.1069,1.7207,-0.370052806077268,0.341587205609786,4.3348,0.9641,19.4899,4.3348 (0.9641;19.4899),0.241203117614782
K10007,0.012467616673662,20,30,Control,-2.5,-0.0625,1.728,-0.396066421505935,0.365599773697786,4.7927,0.9321,24.6437,4.7927 (0.9321;24.6437),0.241203117614782
K10008,0.000727924008005952,18,32,Control,-3.38,-0.0818,1.559,-0.44992710922836,0.415317331595409,6.7264,1.7417,25.9773,6.7264 (1.7417;25.9773),0.0965663352469749
K10009,0.613346059078893,27,24,Case,0.51,1.8455,-0.0051,0.190362020110403,-0.175718787794218,0.0814,0.0018,3.784,0.0814 (0.0018;3.784),0.896913846537222
K10010,0.0239774387198149,21,30,Control,-2.24,-0.8571,1.9817,-0.301777478820287,0.278563826603342,1.9438,1.0051,3.759,1.9438 (1.0051;3.759),0.242798568658306
