,p.value,Case_rank,Control_rank,Enrichment,qnorm,Case_Mean1,Control_Mean1,Case_Mean2,Control_Mean2,OR,lower,uper,com,FDR
K01589,0.301718405696185,23,28,Control,-1.04,9.6851,-5.0325,0.0429784851977417,-0.0396724478748385,0.9189,0.523,1.6147,0.9189 (0.523;1.6147),0.654693992282842
K01591,0.721761172145987,25,26,Control,-0.36,-8.0213,7.7618,-0.0537193688376578,0.0495871096962995,1.1114,0.6334,1.95,1.1114 (0.6334;1.95),0.942229451210324
K01593,0.944721876779933,26,25,Case,0.07,2.4277,-0.4967,0.121133437988585,-0.111815481220232,0.7379,0.3178,1.7133,0.7379 (0.3178;1.7133),0.992208704748446
K01595,0.149134967528481,22,28,Control,-1.45,2.5062,-0.2679,0.138861722995838,-0.128180051996158,0.6796,0.2511,1.8399,0.6796 (0.2511;1.8399),0.499793872476267
K01596,0.0527914437010138,21,29,Control,-1.93,-0.8026,2.1521,-0.277110499075418,0.255794306838848,1.8399,0.9512,3.5589,1.8399 (0.9512;3.5589),0.319019261935159
K01597,0.157977305254344,22,28,Control,-1.41,13.3842,-8.9499,0.0216696045680447,-0.0200027119089643,0.9583,0.5462,1.6815,0.9583 (0.5462;1.6815),0.506751898689524
K01598,0.00706692725877515,20,31,Control,-2.69,-0.0634,1.7501,-0.322467794822906,0.297662579836529,8.6146,0.9626,77.0983,8.6146 (0.9626;77.0983),0.239162502097615
K01599,0.242424509473753,23,28,Control,-1.17,-1.845,2.8566,-0.167848917181256,0.154937462013467,1.4124,0.7761,2.5705,1.4124 (0.7761;2.5705),0.591074075159433
K01601,0.736234900362807,25,26,Control,-0.34,-2.4389,4.2944,-0.103735613556688,0.0957559509754041,1.2376,0.681,2.2493,1.2376 (0.681;2.2493),0.9522762117466
K01609,0.412541130682006,24,27,Control,-0.83,-4.3108,4.7185,-0.0811033777077314,0.0748646563455986,1.1751,0.6636,2.081,1.1751 (0.6636;2.081),0.750317525706432
K01610,0.329809533579703,28,24,Case,0.98,2.7279,-0.935,0.197319308199381,-0.182140899876352,0.659,0.3516,1.235,0.659 (0.3516;1.235),0.678948563632942
K01611,0.623413544612998,24,26,Control,-0.5,20.1993,-15.5347,0.0192191935231201,-0.0177407940213415,0.963,0.5497,1.687,0.963 (0.5497;1.687),0.897204640390537
K01613,0.0417054083587437,30,21,Case,2.03,1.9793,-1.0399,0.284151662079436,-0.26229384191948,0.5545,0.3013,1.0207,0.5545 (0.3013;1.0207),0.289363450587827
K01623,0.976974262337502,25,26,Control,-0.03,-51.2981,53.4384,-0.00856123012217721,0.0079026739589328,1.0169,0.5806,1.7813,1.0169 (0.5806;1.7813),0.99647828572355
K01624,0.205344088515694,23,28,Control,-1.27,-3.3427,3.9157,-0.102378309957693,0.0945030553455633,1.228,0.6889,2.1889,1.228 (0.6889;2.1889),0.546935439553649
K01625,0.275238691174981,23,28,Control,-1.1,-2.7995,4.4068,-0.103727161105051,0.0957481487123554,1.2312,0.6912,2.1932,1.2312 (0.6912;2.1932),0.636560265186582
K01626,0.185140312870791,23,28,Control,-1.33,-5.5046,5.7694,-0.0551630455014859,0.0509197343090637,1.1176,0.625,1.9984,1.1176 (0.625;1.9984),0.526829649789289
K01627,0.178737668236209,28,23,Case,1.35,6.54,-7.3737,0.0508194901837096,-0.0469102986311168,0.9045,0.5138,1.5922,0.9045 (0.5138;1.5922),0.516455370430589
K01633,0.0822000465930611,29,22,Case,1.74,1.9722,-1.1473,0.263704878459577,-0.24341988780884,0.5777,0.3129,1.0666,0.5777 (0.3129;1.0666),0.380217499467493
K01637,0.946305810934461,26,25,Case,0.07,1.8922,-0.0167,0.180180974630768,-0.16632089965917,0.1224,0.0031,4.8714,0.1224 (0.0031;4.8714),0.992208704748446
K01638,0.900463086624313,25,26,Control,-0.13,1.8071,0,0.19999450932068,-0.184610316296012,0.0444,5e-04,4.1672,0.0444 (5e-04;4.1672),0.989676920858447
K01640,0.349431245115393,23,27,Control,-0.94,-1.5957,3.5777,-0.160098200860582,0.147782954640538,1.3864,0.7671,2.5055,1.3864 (0.7671;2.5055),0.703872257185845
K01641,0.0341424314881628,21,30,Control,-2.12,-2.6504,3.5356,-0.0876383009787575,0.0808968932111608,1.2009,0.6517,2.2129,1.2009 (0.6517;2.2129),0.275336393238996
