ID,KO_sum,Case_KO_Num,Control_KO_Num,NS;Case;Control,zscore_two,zscore_less,zscore_greater,zscore_adj_two,zscore_adj_less,zscore_adj_greater
M00119,5,5,5,5; 0; 0,0.662995713096801,-1.0770030179694,1.03354507680108,-0.0283984948623799,-1.84532336602885,1.86981167120429
M00120,8,8,8,5; 2; 1,1.98447804915929,2.23428641713618,-2.28949659068724,0.825724717016796,0.546154725782058,-0.552841592197987
M00121,17,17,17,16; 1; 0,1.92487980156252,3.52258227108897,-3.60317035907717,0.525296886338059,1.05828102778495,-1.05496010749115
M00122,9,9,9,9; 0; 0,-0.613479043310313,1.84965532105042,-1.90824201754158,-1.06938834789075,0.11493649667065,-0.142538101761717
M00123,4,4,4,3; 1; 0,0.220441950530036,0.741417597208365,-0.78036488650549,-0.250798356089752,-0.287563881123836,0.343329111869336
M00124,6,6,6,6; 0; 0,-0.484158758550951,-0.223502314972688,0.175960229499198,-0.819576212666213,-1.31501131834688,1.33218721335088
M00125,8,8,8,7; 1; 0,-1.78675505638309,0.324761693316964,-0.379659467661241,-1.79734874189698,-1.00724549316809,1.02961165370965
M00126,10,10,10,7; 1; 2,1.80125071379118,-1.4285351261972,1.36630547684264,0.59230942855213,-2.5873259232603,2.58803126329879
M00127,6,6,6,6; 0; 0,-0.536556490017755,-0.133846333861763,0.0864538713035922,-0.85561620353383,-1.24012720490582,1.25546333421787
M00128,1,1,1,1; 0; 0,-1.37140380169594,-0.126325741800816,0.106891012292997,-1.12993728137805,-0.574813581077263,0.535649596074673
M00129,4,4,4,4; 0; 0,0.100838547935572,0.502418445041644,-0.541210253982319,-0.33269434929447,-0.490914222198635,0.544480104751586
M00131,1,1,1,1; 0; 0,-0.314458395137671,0.491018243181651,-0.510303629358494,-0.413977120509963,-0.0593785436064277,0.0136849398013995
M00133,7,7,7,6; 0; 1,2.65875369531077,1.10585802078889,-1.15784757384402,1.30279108521715,-0.306298086045237,0.278299180177255
M00134,2,2,2,2; 0; 0,-0.223294288573108,0.876443001916145,-0.903902055593168,-0.388625105192806,0.0486154438577364,-0.0809108077921087
M00135,3,3,3,2; 1; 0,0.467797241238592,2.07885082549807,-2.11333235595026,-0.0724765437283402,0.906807179402364,-0.977930435993633
M00136,4,4,4,4; 0; 0,-4.32579637708864,-0.943180810727685,0.903287737163658,-3.36374242882735,-1.72088972233391,1.75943547513221
M00138,1,1,1,0; 1; 0,2.31189904464797,2.56251787950241,-2.58301797665485,1.3650809873341,1.67016530656672,-1.73922015500681
M00140,3,3,3,3; 0; 0,2.23256426523769,2.86279665779298,-2.89699740866701,1.23438727398986,1.54711253789617,-1.64165819984677
M00141,1,1,1,1; 0; 0,1.13481500266743,1.52113318033533,-1.54079526586296,0.567740580892602,0.800688686571823,-0.857807092924737
M00144,14,14,14,3; 3; 8,7.54549971386064,-2.73797653780781,2.66262284640247,4.51824667498842,-4.02554136646705,4.04060100872066
M00145,2,2,2,2; 0; 0,1.40158407158325,2.00112858614125,-2.02893126838633,0.671026041158453,0.985890865044547,-1.00315379706256
M00149,4,4,4,4; 0; 0,1.32019384578158,-1.51089840099826,1.47179183397391,0.502234348554759,-2.20392727526695,2.23759959148036
M00150,4,4,4,4; 0; 0,-0.518723468652917,1.25703572297971,-1.29600226968761,-0.756926817600356,0.151145297504585,-0.0903692468034339
M00151,1,1,1,1; 0; 0,-1.2740290013003,0.127337310871978,-0.146927666390746,-1.06397694196679,-0.363024322187697,0.320993844980668
M00152,1,1,1,1; 0; 0,-1.2740290013003,0.127337310871978,-0.146927666390746,-1.06397694196679,-0.363024322187697,0.320993844980668
M00153,2,2,2,1; 0; 1,1.48777203894482,-2.11451922871188,2.08667543012487,0.727232819866234,-2.44395263364386,2.37061586254743
M00154,1,1,1,1; 0; 0,1.40925451058827,1.75429505744788,-1.77622374566597,0.753642097678968,0.995361030985595,-1.05691015903124
M00155,6,6,6,6; 0; 0,-1.28293705742652,-0.13539800928233,0.0863127183738069,-1.36898859734101,-1.24142322371882,1.25534233945792
M00156,1,1,1,0; 1; 0,2.27419717301456,2.52782767045762,-2.54898104008485,1.33954226233261,1.641201633746,-1.71043494415369
M00157,8,8,8,8; 0; 0,0.853919609071089,2.56855925649785,-2.62348968791578,0.0393671106444872,0.818086005527388,-0.82958166309085
M00159,8,8,8,6; 2; 0,3.66695272878397,4.75951043124575,-4.81563906092145,1.99596653286532,2.60042691586414,-2.64595325258581
M00161,4,4,4,4; 0; 0,1.42547385220121,1.62820251763412,-1.66986863890775,0.574322688044306,0.466949322767249,-0.404825172580354
M00162,2,2,2,2; 0; 0,-1.19300512376988,-0.57206547559789,0.538902259621202,-1.02101410325087,-1.15852316661004,1.1018284041898
M00163,2,2,2,1; 1; 0,1.618628007699,2.2351655013433,-2.26354855532861,0.812569470718011,1.18092941745953,-1.1954813789455
M00164,8,8,8,8; 0; 0,0.853919609071089,2.56855925649785,-2.62348968791578,0.0393671106444872,0.818086005527388,-0.82958166309085
